timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-02-27,1359.1400,1369.4000,1337.2100,1351.6000,1351.6000,1627516,0.0000,1.0000
2020-02-26,1394.9800,1413.6700,1376.5500,1390.4700,1390.4700,2469137,0.0000,1.0000
2020-02-25,1431.0000,1436.8500,1380.4200,1386.3200,1386.3200,2578966,0.0000,1.0000
2020-02-24,1423.0500,1436.3800,1406.7900,1419.8600,1419.8600,2478039,0.0000,1.0000
2020-02-21,1504.5800,1510.9400,1478.4900,1483.4600,1483.4600,2126843,0.0000,1.0000
2020-02-20,1519.0100,1527.0700,1504.2600,1516.9900,1516.9900,1298386,0.0000,1.0000
2020-02-19,1527.2000,1530.7400,1520.9800,1524.8700,1524.8700,1137338,0.0000,1.0000
2020-02-18,1514.3400,1530.5600,1511.0100,1519.4400,1519.4400,1284011,0.0000,1.0000
2020-02-14,1514.5300,1520.0500,1505.5500,1518.7300,1518.7300,1159857,0.0000,1.0000
2020-02-13,1510.0000,1525.9500,1504.0000,1513.3900,1513.3900,1145658,0.0000,1.0000
2020-02-12,1515.8600,1520.3000,1508.6700,1518.6300,1518.6300,1552136,0.0000,1.0000
2020-02-11,1513.2700,1529.8800,1505.4500,1510.0600,1510.0600,1742647,0.0000,1.0000
2020-02-10,1477.2300,1508.8800,1475.2000,1508.6600,1508.6600,1915072,0.0000,1.0000
2020-02-07,1467.3800,1485.2400,1465.4100,1479.1100,1479.1100,1418049,0.0000,1.0000
2020-02-06,1451.9800,1481.5600,1450.4800,1475.9700,1475.9700,1891079,0.0000,1.0000
2020-02-05,1463.6100,1464.5800,1429.6700,1446.0500,1446.0500,1818793,0.0000,1.0000
2020-02-04,1454.4900,1467.3400,1422.0300,1445.4100,1445.4100,4793967,0.0000,1.0000
2020-02-03,1461.6500,1486.3000,1456.6100,1482.6000,1482.6000,3608760,0.0000,1.0000
2020-01-31,1467.8600,1469.6700,1427.0600,1432.7800,1432.7800,2191075,0.0000,1.0000
2020-01-30,1438.1000,1455.2500,1435.0000,1454.2500,1454.2500,1355472,0.0000,1.0000
2020-01-29,1458.4600,1464.1400,1445.3800,1456.7000,1456.7000,1081964,0.0000,1.0000
2020-01-28,1441.7400,1454.8000,1430.3600,1450.5000,1450.5000,1486586,0.0000,1.0000
2020-01-27,1431.5400,1436.5800,1419.5000,1431.7300,1431.7300,1706566,0.0000,1.0000
2020-01-24,1492.8200,1494.2000,1463.1800,1466.1700,1466.1700,1489280,0.0000,1.0000
2020-01-23,1487.5500,1493.5000,1480.3200,1484.6900,1484.6900,1332562,0.0000,1.0000
2020-01-22,1489.7300,1500.5800,1482.6600,1484.1700,1484.1700,1422946,0.0000,1.0000
2020-01-21,1479.0000,1489.8800,1470.2100,1482.2500,1482.2500,2387178,0.0000,1.0000
2020-01-17,1462.5400,1480.5500,1456.5500,1479.5200,1479.5200,2621175,0.0000,1.0000
2020-01-16,1445.4500,1450.7000,1440.0000,1450.1600,1450.1600,1304040,0.0000,1.0000
2020-01-15,1433.0200,1440.7800,1431.6600,1439.2000,1439.2000,1077519,0.0000,1.0000
2020-01-14,1440.0000,1442.6300,1427.7700,1430.5900,1430.5900,1305636,0.0000,1.0000
2020-01-13,1435.2500,1441.4800,1425.3700,1440.0300,1440.0300,1525568,0.0000,1.0000
2020-01-10,1429.4700,1434.9400,1419.6000,1428.9600,1428.9600,1313178,0.0000,1.0000
2020-01-09,1421.9300,1428.6800,1410.2100,1419.7900,1419.7900,1661438,0.0000,1.0000
2020-01-08,1394.8200,1411.8500,1392.6300,1405.0400,1405.0400,1766274,0.0000,1.0000
2020-01-07,1400.4600,1403.5000,1391.5600,1395.1100,1395.1100,1726456,0.0000,1.0000
2020-01-06,1351.6300,1398.3200,1351.0000,1397.8100,1397.8100,2339343,0.0000,1.0000
2020-01-03,1348.0000,1373.7500,1347.3200,1361.5200,1361.5200,1170629,0.0000,1.0000
2020-01-02,1348.4100,1368.6800,1346.4900,1368.6800,1368.6800,1364265,0.0000,1.0000
2019-12-31,1335.7900,1340.6600,1332.1300,1339.3900,1339.3900,976061,0.0000,1.0000
2019-12-30,1356.8100,1357.0000,1337.8400,1339.7100,1339.7100,1000592,0.0000,1.0000
2019-12-27,1364.0000,1367.0700,1353.0000,1354.6400,1354.6400,1160873,0.0000,1.0000
2019-12-26,1346.5500,1363.2000,1345.5100,1362.4700,1362.4700,1183800,0.0000,1.0000
2019-12-24,1350.2100,1352.0100,1344.1600,1344.4300,1344.4300,673410,0.0000,1.0000
2019-12-23,1358.7300,1361.8500,1348.0000,1350.6300,1350.6300,996967,0.0000,1.0000
2019-12-20,1363.1000,1364.0000,1350.7300,1351.2200,1351.2200,2513849,0.0000,1.0000
2019-12-19,1351.9100,1357.5300,1348.7500,1356.4400,1356.4400,1521082,0.0000,1.0000
2019-12-18,1357.0000,1359.4300,1350.4600,1351.9100,1351.9100,1166733,0.0000,1.0000
2019-12-17,1362.4100,1364.3300,1350.7700,1354.8900,1354.8900,1648549,0.0000,1.0000
2019-12-16,1355.0000,1363.5300,1350.6100,1360.7000,1360.7000,1406457,0.0000,1.0000
2019-12-13,1347.9000,1351.3500,1341.6600,1346.8700,1346.8700,1658684,0.0000,1.0000
2019-12-12,1343.2100,1354.5800,1338.2000,1348.4900,1348.4900,1456466,0.0000,1.0000
2019-12-11,1348.3000,1349.8900,1341.1000,1344.2500,1344.2500,1024308,0.0000,1.0000
2019-12-10,1339.9400,1348.0000,1334.0000,1342.8900,1342.8900,880430,0.0000,1.0000
2019-12-09,1338.8600,1357.5500,1336.0700,1342.9900,1342.9900,1556889,0.0000,1.0000
2019-12-06,1332.7500,1342.4700,1331.2300,1339.3900,1339.3900,1648729,0.0000,1.0000
2019-12-05,1327.0000,1327.9800,1314.3200,1326.9600,1326.9600,1220631,0.0000,1.0000
2019-12-04,1306.1000,1324.2700,1303.0500,1318.9400,1318.9400,1776392,0.0000,1.0000
2019-12-03,1278.6600,1297.2300,1277.0500,1294.7400,1294.7400,1480026,0.0000,1.0000
2019-12-02,1302.5600,1305.4400,1280.3800,1288.8600,1288.8600,1328889,0.0000,1.0000
2019-11-29,1306.6000,1309.9500,1303.2300,1304.0900,1304.0900,640069,0.0000,1.0000
2019-11-27,1315.4200,1317.6400,1309.4700,1312.1300,1312.1300,940536,0.0000,1.0000
2019-11-26,1309.9100,1314.0100,1304.0400,1313.0000,1313.0000,1097089,0.0000,1.0000
2019-11-25,1296.2600,1310.4100,1295.6100,1305.6400,1305.6400,1179658,0.0000,1.0000
