timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-03-06,3.2700,3.3300,3.0400,3.0700,3.0700,306513,0.0000,1.0000
2020-03-05,3.4800,3.4800,3.2300,3.3700,3.3700,365935,0.0000,1.0000
2020-03-04,3.5800,3.5800,3.4100,3.5200,3.5200,198611,0.0000,1.0000
2020-03-03,3.7700,3.7800,3.5250,3.5700,3.5700,304659,0.0000,1.0000
2020-03-02,3.7900,3.8400,3.6000,3.6400,3.6400,299790,0.0000,1.0000
2020-02-28,3.8000,3.8700,3.6000,3.7800,3.7800,531083,0.0000,1.0000
2020-02-27,3.8700,4.0200,3.8450,3.8900,3.8900,303359,0.0000,1.0000
2020-02-26,4.0600,4.0600,3.8500,3.9700,3.9700,515637,0.0000,1.0000
2020-02-25,4.1100,4.1100,4.0400,4.0500,4.0500,226291,0.0000,1.0000
2020-02-24,4.0600,4.1136,4.0000,4.0800,4.0800,222383,0.0000,1.0000
2020-02-21,4.3000,4.3000,4.0900,4.1000,4.1000,115957,0.0000,1.0000
2020-02-20,4.2600,4.3800,4.2500,4.3000,4.3000,135950,0.0000,1.0000
2020-02-19,4.1500,4.3400,4.1205,4.2700,4.2700,170806,0.0000,1.0000
2020-02-18,4.1000,4.1600,4.0500,4.1200,4.1200,101026,0.0000,1.0000
2020-02-14,4.2500,4.2600,4.0700,4.1000,4.1000,189526,0.0000,1.0000
2020-02-13,4.2600,4.3700,4.2200,4.2700,4.2700,185283,0.0000,1.0000
2020-02-12,4.1700,4.2700,4.1100,4.2500,4.2500,146357,0.0000,1.0000
2020-02-11,4.0300,4.1600,3.9900,4.1300,4.1300,156226,0.0000,1.0000
2020-02-10,4.0800,4.1200,3.9500,4.0400,4.0400,305792,0.0000,1.0000
2020-02-07,4.1600,4.1900,4.0450,4.1200,4.1200,174865,0.0000,1.0000
2020-02-06,4.1100,4.2000,4.0000,4.1400,4.1400,516766,0.0000,1.0000
2020-02-05,4.5000,4.7200,4.1300,4.1700,4.1700,537550,0.0000,1.0000
2020-02-04,4.2600,4.4500,4.2500,4.3500,4.3500,297233,0.0000,1.0000
2020-02-03,4.0500,4.3100,4.0500,4.1900,4.1900,187576,0.0000,1.0000
2020-01-31,4.0400,4.0700,3.9700,4.0400,4.0400,185682,0.0000,1.0000
2020-01-30,4.1000,4.1350,3.9400,4.0500,4.0500,388049,0.0000,1.0000
2020-01-29,4.2000,4.2705,4.1000,4.1200,4.1200,166898,0.0000,1.0000
2020-01-28,4.2100,4.2200,4.1100,4.2000,4.2000,120813,0.0000,1.0000
2020-01-27,4.2400,4.2400,4.1100,4.1300,4.1300,111781,0.0000,1.0000
2020-01-24,4.5900,4.5900,4.2200,4.2200,4.2200,194992,0.0000,1.0000
2020-01-23,4.4700,4.5900,4.3400,4.5600,4.5600,206900,0.0000,1.0000
2020-01-22,4.5200,4.5300,4.4400,4.4700,4.4700,99039,0.0000,1.0000
2020-01-21,4.5700,4.5700,4.3700,4.4800,4.4800,181737,0.0000,1.0000
2020-01-17,4.6400,4.6500,4.5100,4.5500,4.5500,206608,0.0000,1.0000
2020-01-16,4.7900,4.7900,4.4700,4.5800,4.5800,373050,0.0000,1.0000
2020-01-15,4.3500,4.7900,4.2963,4.7600,4.7600,354584,0.0000,1.0000
2020-01-14,4.1200,4.4000,4.0500,4.3100,4.3100,452611,0.0000,1.0000
2020-01-13,4.0500,4.1300,3.9884,4.1100,4.1100,223623,0.0000,1.0000
2020-01-10,4.1600,4.1600,3.9500,4.0400,4.0400,383171,0.0000,1.0000
2020-01-09,4.3500,4.3500,4.1100,4.1200,4.1200,196009,0.0000,1.0000
2020-01-08,4.3600,4.4500,4.3300,4.3400,4.3400,213375,0.0000,1.0000
2020-01-07,4.4400,4.4500,4.3100,4.3900,4.3900,104453,0.0000,1.0000
2020-01-06,4.2300,4.4600,4.2000,4.4500,4.4500,118495,0.0000,1.0000
2020-01-03,4.2200,4.3200,4.1800,4.2800,4.2800,141542,0.0000,1.0000
2020-01-02,4.2900,4.3700,4.1700,4.2700,4.2700,142791,0.0000,1.0000
2019-12-31,4.1600,4.2550,4.1450,4.2200,4.2200,232466,0.0000,1.0000
2019-12-30,4.2700,4.3360,4.1600,4.2300,4.2300,159711,0.0000,1.0000
2019-12-27,4.5200,4.5500,4.2900,4.3200,4.3200,195970,0.0000,1.0000
2019-12-26,4.5200,4.6500,4.4800,4.5300,4.5300,162841,0.0000,1.0000
2019-12-24,4.3700,4.6300,4.3700,4.5300,4.5300,183134,0.0000,1.0000
2019-12-23,4.1800,4.4300,4.1100,4.3700,4.3700,238838,0.0000,1.0000
2019-12-20,4.1400,4.1700,4.0800,4.1700,4.1700,351319,0.0000,1.0000
2019-12-19,4.0900,4.1400,4.0250,4.1300,4.1300,125433,0.0000,1.0000
2019-12-18,4.1000,4.2300,4.0500,4.0700,4.0700,273737,0.0000,1.0000
2019-12-17,3.9900,4.1000,3.9400,4.0900,4.0900,291371,0.0000,1.0000
2019-12-16,4.0100,4.0700,3.9500,4.0000,4.0000,205794,0.0000,1.0000
2019-12-13,4.1300,4.1600,4.0100,4.0500,4.0500,123878,0.0000,1.0000
2019-12-12,4.1400,4.1900,4.0600,4.1600,4.1600,196570,0.0000,1.0000
2019-12-11,4.0000,4.1600,3.9600,4.1500,4.1500,229274,0.0000,1.0000
2019-12-10,3.9500,4.0100,3.9000,4.0000,4.0000,143084,0.0000,1.0000
2019-12-09,4.0000,4.0600,3.9300,3.9900,3.9900,166167,0.0000,1.0000
2019-12-06,3.9700,4.0700,3.9200,4.0600,4.0600,156669,0.0000,1.0000
2019-12-05,3.9900,4.0600,3.8600,3.9300,3.9300,164814,0.0000,1.0000
2019-12-04,4.0200,4.0450,3.9300,3.9800,3.9800,127793,0.0000,1.0000
2019-12-03,3.9300,4.0200,3.8400,4.0000,4.0000,264813,0.0000,1.0000
2019-12-02,4.1900,4.1900,3.9650,3.9800,3.9800,178135,0.0000,1.0000
2019-11-29,4.0800,4.2100,4.0600,4.1600,4.1600,114704,0.0000,1.0000
2019-11-27,3.9900,4.1150,3.9700,4.0800,4.0800,220823,0.0000,1.0000
2019-11-26,4.0500,4.0900,3.9400,3.9600,3.9600,444567,0.0000,1.0000
2019-11-25,3.8000,4.0400,3.8000,4.0400,4.0400,288007,0.0000,1.0000
2019-11-22,3.7100,3.8300,3.7100,3.7800,3.7800,249377,0.0000,1.0000
2019-11-21,3.7300,3.8200,3.6800,3.7800,3.7800,250385,0.0000,1.0000
2019-11-20,3.7400,3.7600,3.6200,3.7300,3.7300,269349,0.0000,1.0000
